rung,fold,seed,source,n_rows,n_positive,positive_prevalence,mean_predicted_proba,std_predicted_proba
frozen_probe,3,44,hackaprompt,1650,1650,1.0,0.5685393214225769,0.2171637862920761
frozen_probe,3,44,injecagent,62,62,1.0,0.46751970076753246,0.14524447533632834
frozen_probe,3,44,jbb_behaviors,200,100,0.5,0.3886813361942768,0.12957498590660665
frozen_probe,3,44,notinject,339,0,0.0,0.42718443162409603,0.1643621092738534
frozen_probe,3,44,xstest,450,200,0.4444444444444444,0.5049913749761051,0.11461083100342978
full_ft,0,42,deepset_prompt_injections,170,170,1.0,0.4931412637233734,0.39926058053970337
full_ft,0,42,deepset_prompt_injections,170,170,1.0,0.35425272583961487,0.40079110860824585
full_ft,0,43,deepset_prompt_injections,170,170,1.0,0.3718535602092743,0.4013756215572357
full_ft,0,43,deepset_prompt_injections,170,170,1.0,0.3982612192630768,0.4227144122123718
full_ft,0,44,deepset_prompt_injections,170,170,1.0,0.2803545892238617,0.3592575192451477
full_ft,0,44,deepset_prompt_injections,170,170,1.0,0.4016647934913635,0.41659680008888245
full_ft,1,42,lakera_gandalf_ignore_instructions,525,525,1.0,0.9824281334877014,0.06933941692113876
full_ft,1,42,lakera_gandalf_ignore_instructions,525,525,1.0,0.9906893968582153,0.07096100598573685
full_ft,1,43,lakera_gandalf_ignore_instructions,525,525,1.0,0.9882659316062927,0.06356126070022583
full_ft,1,43,lakera_gandalf_ignore_instructions,525,525,1.0,0.9888577461242676,0.0801675096154213
full_ft,1,44,lakera_gandalf_ignore_instructions,525,525,1.0,0.9884193539619446,0.049284908920526505
full_ft,1,44,lakera_gandalf_ignore_instructions,525,525,1.0,0.9864715933799744,0.08402975648641586
full_ft,2,42,lakera_mosscap_prompt_injection,2362,2362,1.0,0.3475256860256195,0.40738359093666077
full_ft,2,42,lakera_mosscap_prompt_injection,2362,2362,1.0,0.38249704241752625,0.41983187198638916
full_ft,2,43,lakera_mosscap_prompt_injection,2362,2362,1.0,0.3841977119445801,0.41175714135169983
full_ft,2,43,lakera_mosscap_prompt_injection,2362,2362,1.0,0.36303460597991943,0.4088928699493408
full_ft,2,44,lakera_mosscap_prompt_injection,2362,2362,1.0,0.27278661727905273,0.3706035315990448
full_ft,2,44,lakera_mosscap_prompt_injection,2362,2362,1.0,0.38868966698646545,0.41530677676200867
full_ft,3,42,hackaprompt,1650,1650,1.0,0.7340105772018433,0.3072938919067383
full_ft,3,42,hackaprompt,1650,1650,1.0,0.652662992477417,0.3751121461391449
full_ft,3,43,hackaprompt,1650,1650,1.0,0.8212643265724182,0.28542593121528625
full_ft,3,43,hackaprompt,1650,1650,1.0,0.7147164344787598,0.35856640338897705
full_ft,3,44,hackaprompt,1650,1650,1.0,0.8234798312187195,0.27904361486434937
full_ft,3,44,hackaprompt,1650,1650,1.0,0.7068840861320496,0.36733031272888184
lora,0,42,bipia,50,50,1.0,0.006557354111864697,0.016411042000504354
lora,0,42,deepset_prompt_injections,170,170,1.0,0.52042156457901,0.3816874027252197
lora,0,42,deepset_prompt_injections,170,170,1.0,0.44660159945487976,0.3986484110355377
lora,0,42,injecagent,62,62,1.0,0.0933504763346601,0.20750574829012994
lora,0,42,jbb_behaviors,200,100,0.5,0.033008142169987875,0.12896678484195007
lora,0,42,notinject,339,0,0.0,0.4249553595616865,0.4304273304526845
lora,0,42,xstest,450,200,0.4444444444444444,0.03815398092810533,0.12050612802501168
lora,0,43,bipia,50,50,1.0,0.002488373531086836,0.00368995968496402
lora,0,43,deepset_prompt_injections,170,170,1.0,0.42062774300575256,0.39287668466567993
lora,0,43,deepset_prompt_injections,170,170,1.0,0.5048789978027344,0.4033232033252716
lora,0,43,injecagent,62,62,1.0,0.050713689018376466,0.17537550801818202
lora,0,43,jbb_behaviors,200,100,0.5,0.03512054686817351,0.1332947646678981
lora,0,43,notinject,339,0,0.0,0.3773089276893499,0.40965887888354946
lora,0,43,xstest,450,200,0.4444444444444444,0.027636722121618124,0.09334450123805199
