rung,fold,seed,slice_name,n_rows,n_positive,n_negative,auprc,auroc,recall_at_fpr_0_1,recall_at_fpr_1,recall_at_fpr_5,ece_equal_mass,brier
lora,2,43,xstest,450,200,250,0.4552359679615652,0.53129,,0.015,0.04,0.4417867183047625,0.44222424045744646
lora,2,43,pooled_ood,1101,412,689,0.2949443509562271,0.3864296081277213,,0.0,0.0,0.4337040756274181,0.4264778261191644
lora,2,44,jbb_behaviors,200,100,100,0.5775551390863796,0.58145,,0.0,0.13,0.4967262889465214,0.49768540074902423
lora,2,44,xstest,450,200,250,0.48985268719816644,0.55094,,0.025,0.08,0.43354996162120796,0.43364816120403105
lora,2,44,pooled_ood,1101,412,689,0.3030378796453862,0.40841694026801195,,0.0,0.0,0.43169407585681596,0.4271614204670424
lora,3,42,jbb_behaviors,200,100,100,0.5723457819707216,0.5496500000000001,,0.01,0.08,0.46158067620185933,0.46967069728784333
lora,3,42,xstest,450,200,250,0.45399433498336456,0.4899199999999999,,0.015,0.075,0.41385430981200266,0.42548615940961515
lora,3,42,pooled_ood,1101,412,689,0.2928397631484728,0.3761713190637902,,0.0,0.0024271844660194173,0.4524901881829473,0.45776413674313254
lora,3,43,jbb_behaviors,200,100,100,0.5590212342029371,0.52155,,0.03,0.15,0.4508461539269752,0.46039832966785194
lora,3,43,xstest,450,200,250,0.46538649809024035,0.5468,,0.015,0.055,0.38816947678900754,0.41554724710637
lora,3,43,pooled_ood,1101,412,689,0.2941866494281162,0.38406759479758196,,0.0,0.0024271844660194173,0.4461839396705452,0.4512393332502196
lora,3,44,jbb_behaviors,200,100,100,0.5505746957415861,0.5498500000000001,,0.02,0.08,0.46244131293867896,0.4771496340872079
lora,3,44,xstest,450,200,250,0.47258936794033596,0.5361,,0.01,0.075,0.4026011278767206,0.41960295313207024
lora,3,44,pooled_ood,1101,412,689,0.2911068425127688,0.37629285442529625,,0.0,0.0024271844660194173,0.4652158975492724,0.47072215513932575
protectai-v1,-1,-1,jbb_behaviors,200,100,100,0.5189759036144579,0.5327500000000001,,0.0,0.0,0.499999957374198,0.4999998706594216
protectai-v1,-1,-1,xstest,450,200,250,0.46863688430698736,0.544,,0.0,0.0,0.4444443321828488,0.4444443293670995
protectai-v1,-1,-1,pooled_ood,1101,412,689,0.3606848902359646,0.4398540871109107,,0.0,0.0,0.4106900103782468,0.4656915423908719
protectai-v2,-1,-1,jbb_behaviors,200,100,100,0.556132529408237,0.5944,,0.0,0.06,0.4948014193316868,0.5048451618013187
protectai-v2,-1,-1,xstest,450,200,250,0.3817080417710352,0.39063000000000003,,0.0,0.01,0.4444403068297434,0.4444436900616339
protectai-v2,-1,-1,pooled_ood,1101,412,689,0.3140913931530698,0.4019192018825651,,0.0,0.01699029126213592,0.4415821764596977,0.4634510158388694
tfidf-lr,0,42,jbb_behaviors,200,100,100,0.47274441444510407,0.44410000000000005,,0.01,0.02,0.38723009753235293,0.41671616099345643
tfidf-lr,0,42,xstest,450,200,250,0.3790534527579107,0.41559999999999997,,0.005,0.015,0.3253601624930966,0.3594419057409567
tfidf-lr,0,42,pooled_ood,1101,412,689,0.28290969670094385,0.34545633886172444,,0.0048543689320388345,0.012135922330097087,0.34847780750199725,0.3605422995222537
tfidf-lr,0,43,jbb_behaviors,200,100,100,0.46751912100112547,0.4322,,0.01,0.02,0.39179222268979075,0.42084957629001063
tfidf-lr,0,43,xstest,450,200,250,0.39784540248744316,0.44994,,0.005,0.015,0.3170955742488543,0.35115999430617234
tfidf-lr,0,43,pooled_ood,1101,412,689,0.2890013808345758,0.3627073146673806,,0.0048543689320388345,0.012135922330097087,0.3402314513098542,0.35191712444500683
tfidf-lr,0,44,jbb_behaviors,200,100,100,0.4650065250526405,0.4295,,0.01,0.02,0.3883552335052066,0.42030924825698734
tfidf-lr,0,44,xstest,450,200,250,0.3878169668148477,0.4262,,0.005,0.02,0.3123696469539499,0.35469730180105563
tfidf-lr,0,44,pooled_ood,1101,412,689,0.2884033564996278,0.36040342694491806,,0.0024271844660194173,0.014563106796116505,0.34138555996551945,0.3507337355332238
tfidf-lr,1,42,jbb_behaviors,200,100,100,0.4711088873179548,0.4355,,0.01,0.02,0.3603663962528919,0.40821785427846313
tfidf-lr,1,42,xstest,450,200,250,0.3940132156235904,0.44819999999999993,,0.005,0.01,0.3079992251420387,0.3438779706224006
tfidf-lr,1,42,pooled_ood,1101,412,689,0.29213062391018957,0.3712605859061254,,0.0024271844660194173,0.009708737864077669,0.33097797609335866,0.34815286445796584
tfidf-lr,1,43,jbb_behaviors,200,100,100,0.4712999414463764,0.43049999999999994,,0.01,0.05,0.37032863595066506,0.40946660225606457
tfidf-lr,1,43,xstest,450,200,250,0.38456614444237713,0.42769999999999997,,0.005,0.01,0.31137105352456124,0.35390084100353975
tfidf-lr,1,43,pooled_ood,1101,412,689,0.2891579910930111,0.36377118942607134,,0.0048543689320388345,0.009708737864077669,0.3307650040631263,0.3527175827809391
tfidf-lr,1,44,jbb_behaviors,200,100,100,0.46344454905559973,0.421,,0.01,0.02,0.3716324776349997,0.41209202227206043
tfidf-lr,1,44,xstest,450,200,250,0.3794861960445002,0.41409999999999997,,0.005,0.015,0.31180522876126293,0.35352821597660045
tfidf-lr,1,44,pooled_ood,1101,412,689,0.284951458896891,0.34758408837910576,,0.0048543689320388345,0.009708737864077669,0.3355088076919276,0.351757391284877
tfidf-lr,2,42,jbb_behaviors,200,100,100,0.49739084844473447,0.4888,,0.0,0.05,0.4221867963888587,0.43981037228070474
tfidf-lr,2,42,xstest,450,200,250,0.4307986129265531,0.49114,,0.0,0.02,0.34577547310980855,0.37436497134838254
tfidf-lr,2,42,pooled_ood,1101,412,689,0.30497263524242046,0.4112087308185495,,0.0,0.0024271844660194173,0.34391692083392644,0.34882931085959096
tfidf-lr,2,43,jbb_behaviors,200,100,100,0.48660789057526765,0.4704,,0.0,0.05,0.4220050276246342,0.4415827965150671
tfidf-lr,2,43,xstest,450,200,250,0.4273091526472512,0.4906400000000001,,0.0,0.025,0.3510616844409306,0.3762183912777067
tfidf-lr,2,43,pooled_ood,1101,412,689,0.30694925852456734,0.416056054222385,,0.0,0.0048543689320388345,0.34934129870463243,0.35284307390169
tfidf-lr,2,44,jbb_behaviors,200,100,100,0.4972100764861812,0.47219999999999995,,0.01,0.06,0.4196496566421953,0.4373752368154413
tfidf-lr,2,44,xstest,450,200,250,0.4303793964406588,0.49258,,0.0,0.015,0.34564811910815657,0.3741532923464283
tfidf-lr,2,44,pooled_ood,1101,412,689,0.3059720484241866,0.413428072202573,,0.0,0.0048543689320388345,0.3477475287563708,0.3492426629998272
tfidf-lr,3,42,jbb_behaviors,200,100,100,0.4784676408037601,0.43809999999999993,,0.02,0.03,0.3905983080846332,0.4131262603253278
tfidf-lr,3,42,xstest,450,200,250,0.38465511265306884,0.42408,,0.005,0.01,0.3076068452992595,0.34903337767046766
tfidf-lr,3,42,pooled_ood,1101,412,689,0.2824899863473131,0.3415566390012259,,0.0024271844660194173,0.014563106796116505,0.33389795334768907,0.34671370399944706
tfidf-lr,3,43,jbb_behaviors,200,100,100,0.48085593263139426,0.438,,0.02,0.03,0.3866841357708527,0.412435976202349
tfidf-lr,3,43,xstest,450,200,250,0.3921582833350894,0.43273999999999996,,0.005,0.015,0.2901314892987918,0.34465175174369367
tfidf-lr,3,43,pooled_ood,1101,412,689,0.2927086098784564,0.36710020150210665,,0.007281553398058253,0.01699029126213592,0.3196881819285199,0.33946851198772826
tfidf-lr,3,44,jbb_behaviors,200,100,100,0.4738250190651109,0.4411,,0.02,0.04,0.39189326246147943,0.4138661903304981
tfidf-lr,3,44,xstest,450,200,250,0.40024354439988924,0.44348,,0.005,0.02,0.32364509354110776,0.35417194021026815
tfidf-lr,3,44,pooled_ood,1101,412,689,0.28148329400543043,0.33696647737680896,,0.0048543689320388345,0.009708737864077669,0.3391840278523951,0.3522678174069628
